AuthorID,Text,CreatedAt
1.6586E+18,"RT @balliawalebaba: No one in BCCI can drop Captain Rohit Sharma.. 

Le Gautam Gambhir- 

#GautamGambhir #RohitSharma 
https://t.co/pUdMhPi…",2025-01-02 16:34:41+00:00
8.88399E+17,"RT @ItzThanesh: Should Dhoni consider accepting the BCCI's offer in the future?

@MSDhoni #TeamIndia #WhistlePodu",2025-01-02 16:34:31+00:00
1.78883E+18,"Gautam Gambhir rejected a request from an 'influential cricket administrator' to retain Rohit Sharma in the playing XI for the Sydney Test

#GautamGambhir #RohitSharma𓃵 #BCCI #SydneyTest 

https://t.co/ANPLefdtr3",2025-01-02 16:34:28+00:00
1.27658E+18,"@BCCI No disrespect to team or any player, but you can not remove a world cup winning captain in the middle of a tour. Yes you can do it in the starting or end but not in the middle especially when you have a ICC trophy 🏆 ahead. I will #boycottsydneytest .",2025-01-02 16:34:23+00:00
1.78132E+18,"@rushiii_12 @ImRo45 It looks like KL &amp; Kohli deliberately underperforming for obvious reasons 
@BCCI  should investigate their performance in WC final #RohitSharma𓃵",2025-01-02 16:34:20+00:00
477523345,"RT @BCCI: 📍 Sydney

𝗔𝗹𝗹 𝗦𝗲𝘁 𝗳𝗼𝗿 𝘁𝗵𝗲 5⃣𝘁𝗵 &amp; 𝗙𝗶𝗻𝗮𝗹 𝗧𝗲𝘀𝘁! 👍 👍

#TeamIndia | #AUSvIND https://t.co/zJ02MmpAST",2025-01-02 16:34:17+00:00
1.58914E+18,RT @ImTanujSingh: 🚨 DEVAJIT SAIKIA IN LINE TO BE NEXT BCCI SECRETARY 🚨 (TOI). https://t.co/J3TzQUKDnf,2025-01-02 16:34:14+00:00
2423388794,@BCCI Bhag saale BCCI walo,2025-01-02 16:34:09+00:00
1.59169E+18,"RT @ChakriDhonii: N Srinivasan : 

When I Was the Bcci Secretary During 2011 World Cup Coach Gary Kirsten Told me , Don't Worry Sir, on the…",2025-01-02 16:34:07+00:00
1.79293E+18,"RT @ictttttttfan: WE ONLY BELIEVE IN JASSI BHAI🐐

#Jaspritbumrah𓃵 #BCCI #IndianCricketTeam https://t.co/I5o2C945UA",2025-01-02 16:34:06+00:00
8.88399E+17,"RT @ChennaiIPL: Final task! 💥💪🏻 
Let's level it! 🇮🇳

#WhistlePodu #AUSvIND 
📸 : @BCCI https://t.co/wXgmynHqY2",2025-01-02 16:34:04+00:00
1.49073E+18,"RT @BluntIndianGal: A home test series loss and a BGT loss made BCCI drop their captain who won a trophy few months back.
This is how impor…",2025-01-02 16:34:03+00:00
1.79293E+18,"WE ONLY BELIEVE IN JASSI BHAI🐐

#Jaspritbumrah𓃵 #BCCI #IndianCricketTeam https://t.co/I5o2C945UA",2025-01-02 16:34:02+00:00
8.88399E+17,"RT @ChennaiIPL: Battle of the SCG come sunrise! 💪🏻🇮🇳

#WhistlePodu #AUSvIND 🦁💛
📸 : @BCCI https://t.co/POLIDPQZ7G",2025-01-02 16:34:01+00:00
